RiderID,RaceName,RaceType,Year,Position,BikeNumber,RiderURL,Rider1,Rider2,Machine,Time,Speed
9878,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,12,28,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9878,Mick Donovan,Aaron Galligan,600 Honda,05:11.2,104.184
10156,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,13,42,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=10156,David Atkinson,Phil Knapton,600 LCR Suzuki,05:12.1,104.159
9793,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,14,7,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9793,Douglas Wright,Martin Hull,600 Baker Honda,05:26.0,103.792
3832,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,15,11,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=3832,Gordon Shand,Stuart Clark,600 Shand F2 Suzuki,05:26.7,103.772
8387,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,16,37,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8387,Andy King,Kenny Cole,600 IRESON HONDA,06:10.5,102.626
3754,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,17,13,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=3754,Tony Baker,Fiona Baker-Milligan,600 Baker Suzuki,06:12.7,102.57
10159,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,18,20,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=10159,Wayne Lockley,Owen Clements,600 IRESON HONDA,06:50.0,101.616
9915,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,19,32,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9915,Nicholas Dukes,William Moralee,600 BLR,07:07.6,101.174
4059,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,20,36,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4059,Brian Alflatt,Heath Lane,600 Suzuki,07:18.4,100.901
9470,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,21,43,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9470,Peter Alton,Keith Brotherton,600 Baker Honda,07:35.4,100.48
9880,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,22,41,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9880,Darryl Rayner,Mathew Johnston,600 Shelbourne Honda,08:06.5,99.715
4260,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,23,30,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4260,Stephen Ramsden,Johnathan McWhir,600 Jacobs Yamaha,08:59.7,98.434
10164,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,24,54,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=10164,Mark Saunders,Lee Saunders,600 Suzuki,10:53.7,95.795
10166,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,25,49,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=10166,Dave Quirk,Paul Bumfrey,600 DMR YAMAHA,11:11.5,95.396
4871,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,26,46,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4871,Nigel Smith,Peter Burgess,600 IRESON HONDA,13:34.6,92.304
3941,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,DNF,2,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=3941,John Holden,Andrew Winkle,,,0
9832,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,DNF,3,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9832,Tim Reeves,Daniel Sayle,,,0
2382,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,DNF,8,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=2382,Roy Hanks,Kevin Perry,,,0
4123,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,DNF,9,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4123,Greg Lambert,Jason Crowe,,,0
